id,vote_count,video,vote_average,title,popularity,poster_path,original_language,original_title,genre_ids,backdrop_path,adult,overview,release_date,release_year,budget,imdb_id,revenue,runtime,status,tagline,belongs_to_collection,collection_id,collection_name,genre_names,production_companies_ids,production_companies_number,production_companies_name,production_countries,spoken_languages,homepage
12,7822,FALSE,7.7,Finding Nemo,37.917438,/syPWyeeqzTQIxjIUaIFI7d0TyEY.jpg,en,Finding Nemo,16|10751,/n2vIGWw4ezslXjlP0VNxkp9wqwU.jpg,FALSE,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",2003-05-30,2003,94000000,tt0266543,940335536,100,Released,There are 3.7 trillion fish in the ocean. They're looking for one.,TRUE,137697,Finding Nemo Collection,"Animation|Family",3,1,Pixar Animation Studios,US,en,http://movies.disney.com/finding-nemo
22,8668,FALSE,7.5,Pirates of the Caribbean: The Curse of the Black Pearl,67.312018,/tkt9xR1kNX5R9rCebASKck44si2.jpg,en,Pirates of the Caribbean: The Curse of the Black Pearl,12|14|28,/8AUQ7YlJJA9C8kWk8P4YNHIcFDE.jpg,FALSE,"Jack Sparrow, a freewheeling 17th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her.",2003-07-09,2003,140000000,tt0325980,655011224,143,Released,Prepare to be blown out of the water.,TRUE,295,Pirates of the Caribbean Collection,"Adventure|Fantasy|Action","130|2",2,"Jerry Bruckheimer Films|Walt Disney Pictures",US,en,http://disney.go.com/disneyvideos/liveaction/pirates/main_site/main.html
24,6309,FALSE,7.8,Kill Bill: Vol. 1,35.148784,/97fNAi62HawGjWru7PvVmF7RAbU.jpg,en,Kill Bill: Vol. 1,28|80,/kkS8PKa8c134vXsj2fQkNqOaCXU.jpg,FALSE,"An assassin is shot at the altar by her ruthless employer, Bill and other members of their assassination circle – but 'The Bride' lives to plot her vengeance. Setting out for some payback, she makes a death list and hunts down those who wronged her, saving Bill for last.",2003-10-10,2003,30000000,tt0266697,180949045,111,Released,Go for the kill.,TRUE,2883,Kill Bill Collection,"Action|Crime","14|59|39121",3,"Miramax Films|A Band Apart|Super Cool ManChu",US,"en|ja|fr",http://www.miramax.com/movie/kill-bill-volume-1/
25,934,FALSE,6.6,Jarhead,10.843171,/kmbyO0XUHRHcMyxVSZAWDdrpxIu.jpg,en,Jarhead,18|10752,/shg7ZGAGVxhM9ZfOtV6bp93QZwt.jpg,FALSE,"Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swafford and his unit are sent to the Persian Gulf where they are eager to fight, but are forced to stay back from the action. Swofford struggles with the possibility of his girlfriend cheating on him, and as his mental state deteriorates, his desire to kill increases.",2005-11-04,2005,72000000,tt0418763,96889998,123,Released,Welcome to the suck.,TRUE,285564,Jarhead Collection,"Drama|War","33|14440|1522|19934",4,"Universal Pictures|Red Wagon Entertainment|Neal Street Productions|Motion Picture KAPPA Produktionsgesellschaft","DE|US","en|es|ar|la",
35,3067,FALSE,6.9,The Simpsons Movie,24.87768,/eCytnEriVur3rT47NWfkgPXD9qs.jpg,en,The Simpsons Movie,16|35|10751,/gMjtdTP6HIi7CDilqXwnX8vouxO.jpg,FALSE,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",2007-07-25,2007,75000000,tt0462538,527068851,87,Released,See our family. And feel better about yours.,FALSE,,,"Animation|Comedy|Family","80853|18|96084|19|25",5,"AKOM Production Company|Gracie Films|Rough Draft Feature Animation|Film Roman|20th Century Fox",US,en,http://www.simpsonsmovie.com/
55,652,FALSE,7.6,Amores perros,21.144485,/8gEXmIzw1tDnBfOaCFPimkNIkmm.jpg,es,Amores perros,18|53,/AuXC0SsPZaAfddtSMnxSnbEeEjR.jpg,FALSE,Three different people in Mexico City are catapulted into dramatic and unforeseen circumstances in the wake of a terrible car crash: a young punk stumbles into the sinister underground world of dog fighting; an injured supermodel's designer pooch disappears into the apartment's floorboards; and an ex-radical turned hit man rescues a gunshot Rotweiler.,2000-06-16,2000,2000000,tt0245712,20908467,154,Released,Love. Betrayal. Death.,FALSE,,,"Drama|Thriller","5084|11230",2,"Altavista Films|Zeta Film",MX,es,
58,6538,FALSE,7.1,Pirates of the Caribbean: Dead Man's Chest,50.209618,/waFr5RVKaQ9dzOt3nQuIVB1FiPu.jpg,en,Pirates of the Caribbean: Dead Man's Chest,12|14|28,/hdHgIcljPHli4xaJGt0INz8Gn3J.jpg,FALSE,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",2006-06-20,2006,200000000,tt0383574,1065659812,151,Released,Jack is back!,TRUE,295,Pirates of the Caribbean Collection,"Adventure|Fantasy|Action","2|130|19936",3,"Walt Disney Pictures|Jerry Bruckheimer Films|Second Mate Productions",US,"en|tr|el|zh",http://disney.go.com/disneypictures/pirates/
59,1028,FALSE,7,A History of Violence,17.462388,/mz1qCHXxTUJm2AqOdW3IIpwYdo3.jpg,en,A History of Violence,18|53|80,/aBjvBbQWrR5gZbxS4WMSaT1XlZL.jpg,FALSE,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,2005-09-23,2005,32000000,tt0399146,60740827,96,Released,Tom Stall had the perfect life... until he became a hero.,FALSE,,,"Drama|Thriller|Crime","12|429|6363",3,"New Line Cinema|DC Comics|BenderSpink","US|CA|DE",en,
64,327,FALSE,7.5,Talk to Her,9.74586,/klsBB1YEGRyC7YjiLYCKIqkU6pY.jpg,es,Hable con ella,18|10749,/3QFJkOSvFOYs8kUhXfJ8nE4UBU6.jpg,FALSE,Two men share an odd friendship while they care for two women who are both in deep comas.,2002-03-14,2002,0,tt0287467,51001550,112,Released,,FALSE,,,"Drama|Romance","357|10565|11736|11737",4,"Vía Digital|Good Machine|El Deseo S.A.|Antena 3 Televisión",ES,es,
65,2140,FALSE,6.9,8 Mile,9.931892,/dXzTrKwpbLpCqn8O70FUUhNbYQT.jpg,en,8 Mile,18,/v8mJvyNO86mcmY00FlxxRcOoDJy.jpg,FALSE,"The setting is Detroit in 1995. The city is divided by 8 Mile, a road that splits the town in half along racial lines. A young white rapper, Jimmy ""B-Rabbit"" Smith Jr. summons strength within himself to cross over these arbitrary boundaries to fulfill his dream of success in hip hop. With his pal Future and the three one third in place, all he has to do is not choke.",2002-11-08,2002,41000000,tt0298203,242875078,110,Released,Every moment is another chance.,FALSE,,,Drama,"24|23",2,"Mikona Productions GmbH & Co. KG|Imagine Entertainment",US,en,
69,899,FALSE,7.3,Walk the Line,20.821679,/wdxL3Zyh3O5MIbmsSiZEevJAjtQ.jpg,en,Walk the Line,18|10402|10749,/oT79THuFrcBzrhlf4fiCddwZBCQ.jpg,FALSE,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.",2005-09-13,2005,28000000,tt0358273,186438883,136,Released,Love is a burning thing.,FALSE,,,"Drama|Music|Romance","6402|84|85|86|711",5,"Mars Media Beteiligungs|Tree Line Films|Konrad Pictures|Catfish Productions|Fox 2000 Pictures","DE|US","en|ru",
71,1025,FALSE,7.4,Billy Elliot,11.463982,/6VaP1H3MOW5jdkWqS5Q1NapCOS6.jpg,en,Billy Elliot,18|35|10402,/vlnhKUvu335ZM8wSD27MaFHpNu2.jpg,FALSE,"Set against the background of the 1984 Miner's Strike, Billy Elliot is an 11 year old boy who stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes!",2000-05-18,2000,5000000,tt0249462,110000000,110,Released,Inside every one of us is a special talent waiting to come out. The trick is finding it.,FALSE,,,"Drama|Comedy|Music","694|288|686|718|10163|10462",6,"StudioCanal|BBC Films|Tiger Aspect Productions|Arts Council of England|Working Title Films|WT2 Productions","FR|GB",en,
74,2995,FALSE,6.2,War of the Worlds,27.20627,/xXMM9KY2eq1SDOQif9zO91YOBA8.jpg,en,War of the Worlds,12|53|878,/bwTb66gicrB7HbkogwNs9V37Ddb.jpg,FALSE,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop of his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.",2005-06-28,2005,132000000,tt0407304,591739379,116,Released,They're already here.,FALSE,,,"Adventure|Thriller|Science Fiction","4|27|56|44",4,"Paramount|DreamWorks SKG|Amblin Entertainment|Cruise/Wagner Productions",US,en,
77,5317,FALSE,8.1,Memento,30.757196,/fQMSaP88cf1nz4qwuNEEFtazuDM.jpg,en,Memento,9648|53,/oBUznaSdjkY3HtQUzAxgdIZqh4w.jpg,FALSE,"Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember.",2000-10-11,2000,9000000,tt0209144,39723096,113,Released,Some memories are best forgotten.,FALSE,,,"Mystery|Thriller","491|506|598|34446",4,"Summit Entertainment|Newmarket Capital Group|Team Todd|I Remember Productions",US,en,http://www.otnemem.com/
79,796,FALSE,7.3,Hero,22.144094,/xkJnow23eDxwQXB0iIWAWkBF47y.jpg,zh,英雄,18|12|28|36,/xC9DRxpKgqJKDYLa9mkNa74eX4q.jpg,FALSE,One man defeated three assassins who sought to murder the most powerful warlord in pre-unified China.,2002-12-19,2002,31000000,tt0299977,177394432,99,Released,One man's strength will unite an empire.,FALSE,,,"Drama|Adventure|Action|History","724|2269",2,"Beijing New Picture Film Co. Ltd.|China Film Co-Production Corporation",CN,zh,
82,598,FALSE,5.7,Miami Vice,9.805594,/3BsNsigWcET4tKLZZhJegw7eOjF.jpg,en,Miami Vice,28|12|80|53,/ehRTljCkHassfaWmSQr7wH6tJbD.jpg,FALSE,Miami Vice is a feature film based on the 1980s action drama TV series. The film tells the story of vice detectives Crockett and Tubbs and how their personal and professional lives are dangerously getting mixed.,2006-07-27,2006,135000000,tt0430357,163794509,134,Released,No Law. No Rules. No Order.,FALSE,,,"Action|Adventure|Crime|Thriller","52846|33|675|52844|52845",5,"Metropolis Films|Universal Pictures|Forward Pass|Motion Picture ETA Produktionsgesellschaft|Foqus Arte Digital","UY|US|DE|PY","en|es",
98,6737,FALSE,8,Gladiator,40.389795,/6WBIzCgmDCYrqh64yDREGeDk9d3.jpg,en,Gladiator,28|18|12,/5vZw7ltCKI0JiOYTtRxaIC3DX0e.jpg,FALSE,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences.",2000-05-01,2000,103000000,tt0172495,457640427,155,Released,A Hero Will Rise.,FALSE,,,"Action|Drama|Adventure","33|27|1645|14440|21904|21905|21906",7,"Universal Pictures|DreamWorks SKG|Scott Free Productions|Red Wagon Entertainment|Mill Film|C & L|Dawliz","GB|US",en,
107,3480,FALSE,7.7,Snatch,28.030853,/on9JlbGEccLsYkjeEph2Whm1DIp.jpg,en,Snatch,53|80,/cNLZ7YGRikb4IsLblrzu86ndZPw.jpg,FALSE,"The second film from British director Guy Ritchie. Snatch tells an obscure story similar to his first fast-paced crazy character-colliding filled film “Lock, Stock and Two Smoking Barrels.” There are two overlapping stories here – one is the search for a stolen diamond, and the other about a boxing promoter who’s having trouble with a psychotic gangster.",2000-09-01,2000,10000000,tt0208092,83557872,103,Released,Stealin' Stones and Breakin' Bones.,FALSE,,,"Thriller|Crime","3287|13419|5",3,"Screen Gems|SKA Films|Columbia Pictures","GB|US","en|ru",
113,314,FALSE,7.7,"Spring, Summer, Fall, Winter... and Spring",9.687167,/uYQwUyHBKLPmCqUc9wMdphiphW2.jpg,ko,봄 여름 가을 겨울 그리고 봄,18,/rB7P8fhPsBX4w9YxXHoZehq4is5.jpg,FALSE,"This South Korean film takes place on an isolated lake, where an old monk lives in a small floating temple. The monk has a young boy living with him, learning to become a monk. We watch as seasons and years pass by.",2003-09-19,2003,0,tt0374546,6502364,103,Released,"What you like, others will also like.",FALSE,,,Drama,"139|11554|254|685|11555|11556|11557",7,"LJ Film|Korea Pictures|Pandora Filmproduktion|Cineclick Asia|Cinesoul|Mirae Asset Capital|Muhan Investment","KR|DE",ko,http://www.fruehling-sommer.de
116,1433,FALSE,7.3,Match Point,17.211807,/zuSFZEbSs7hj9lfeu2k7a4bPxdE.jpg,en,Match Point,18|53|80|10749,/40gCaXoyT75wuLbz1t5BwpLm0w4.jpg,FALSE,"Match Point is Woody Allen’s satire of the British High Society and the ambition of a young tennis instructor to enter into it. Yet when he must decide between two women - one assuring him his place in high society, and the other that would bring him far from it - palms start to sweat and a dark psychological match in his head begins.",2005-10-26,2005,15000000,tt0416320,85306374,124,Released,Passion Temptation Obsession,FALSE,,,"Drama|Thriller|Crime|Romance",7,1,DreamWorks,"US|RU|GB|IE|LU",en,
118,5099,FALSE,6.8,Charlie and the Chocolate Factory,29.307411,/dvHl1dYvaZRhj9Gk0ITcCHr4DIJ.jpg,en,Charlie and the Chocolate Factory,10402|12|35|10751|14,/mrRAx1OsNVEKJv0ktQprspieqnS.jpg,FALSE,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",2005-07-13,2005,150000000,tt0367594,474968763,115,Released,Willy Wonka is semi-sweet and nuts.,FALSE,,,"Music|Adventure|Comedy|Family|Fantasy","79|80|6194|8601|45778|55512",6,"Village Roadshow Pictures|The Zanuck Company|Warner Bros.|Tim Burton Productions|Plan B Entertainment|Theobald Film Productions","AU|GB|US",en,https://www.warnerbros.com/charlie-and-chocolate-factory
120,10478,FALSE,8.1,The Lord of the Rings: The Fellowship of the Ring,56.499335,/bi9JddwTwBt3ixGLAiMAF7OXMbV.jpg,en,The Lord of the Rings: The Fellowship of the Ring,12|14|28,/pIUvQ9Ed35wlWhY2oU6OmwEsmzG.jpg,FALSE,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",2001-12-18,2001,93000000,tt0120737,871368364,178,Released,One ring to rule them all,TRUE,119,The Lord of the Rings Collection,"Adventure|Fantasy|Action","12|11|5237",3,"New Line Cinema|WingNut Films|The Saul Zaentz Company","NZ|US",en,http://www.lordoftherings.net/
121,9063,FALSE,8.1,The Lord of the Rings: The Two Towers,41.441602,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,en,The Lord of the Rings: The Two Towers,12|14|28,/dG4BmM32XJmKiwopLDQmvXEhuHB.jpg,FALSE,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",2002-12-18,2002,79000000,tt0167261,926287400,179,Released,A New Power Is Rising.,TRUE,119,The Lord of the Rings Collection,"Adventure|Fantasy|Action","12|11|5237",3,"New Line Cinema|WingNut Films|The Saul Zaentz Company","NZ|US",en,http://www.lordoftherings.net/
122,9638,FALSE,8.2,The Lord of the Rings: The Return of the King,43.834383,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,en,The Lord of the Rings: The Return of the King,12|14|28,/8BPZO0Bf8TeAy8znF43z8soK3ys.jpg,FALSE,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",2003-12-01,2003,94000000,tt0167260,1118888979,201,Released,The eye of the enemy is moving.,TRUE,119,The Lord of the Rings Collection,"Adventure|Fantasy|Action","12|11",2,"New Line Cinema|WingNut Films","NZ|US",en,http://www.lordoftherings.net
129,4930,FALSE,8.4,Spirited Away,39.93063,/dL11DBPcRhWWnJcFXl9A07MrqTI.jpg,ja,千と千尋の神隠し,16|10751|14,/djgM2d3e42p9GFQObg6lwK2SVw2.jpg,FALSE,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",2001-07-20,2001,15000000,tt0245429,274925095,125,Released,,FALSE,,,"Animation|Family|Fantasy",10342,1,Studio Ghibli,JP,ja,http://movies.disney.com/spirited-away
134,1377,FALSE,7.3,"O Brother, Where Art Thou?",20.307145,/eIqSzq6j3yuxNmifiUOh6iTpG9N.jpg,en,"O Brother, Where Art Thou?",28|12|35,/wGxK2uFowRXdyKcv8Gni7snK3yu.jpg,FALSE,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. On their journey they come across many comical characters and incredible situations. Based upon Homer's 'Odyssey'.",2000-08-30,2000,26000000,tt0190590,71868327,106,Released,They have a plan...but not a clue.,FALSE,,,"Action|Adventure|Comedy","2092|33|5870|9195|10163",5,"Mike Zoss Productions|Universal Pictures|Studio Canal|Touchstone Pictures|Working Title Films","FR|GB|US",en,
141,4571,FALSE,7.8,Donnie Darko,28.510345,/nmb4QhCRmdfNP6rgb81yUFgI83l.jpg,en,Donnie Darko,14|18|9648,/mqMGZIMKg2tGEkcuSduAxWAL7UF.jpg,FALSE,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",2001-01-18,2001,6000000,tt0246578,1270522,113,Released,You can never go too far,TRUE,178106,Darko Collection,"Fantasy|Drama|Mystery","185|2214|3334|25",4,"Pandora Cinema|Flower Films|Adam Fields Productions|20th Century Fox",US,en,
142,2006,FALSE,7.6,Brokeback Mountain,21.660818,/z2DqVxj17aW6xpimRlCLfhKSfUm.jpg,en,Brokeback Mountain,18|10749,/4BMel8xxSed1pCkPSGc9R3jsUtC.jpg,FALSE,Brokeback Mountain is an Ang Lee film about two modern day cowboys who meet on a shepherding job in the summer of ’63. The two share a raw and powerful summer together that turns into a life long relationship conflicting with the lives they are supposed to live.,2005-09-02,2005,14000000,tt0388795,178043761,134,Released,Love is a force of nature,FALSE,,,"Drama|Romance","10565|10146|1246|3997",4,"Good Machine|Focus Features|River Road Entertainment|Alberta Film Entertainment","CA|US",en,http://www.brokebackmountain.com
146,1161,FALSE,7.2,"Crouching Tiger, Hidden Dragon",19.968142,/zooZQuDBqRpIoDjghEnNoIPFmyc.jpg,zh,卧虎藏龙,12|18|28|10749,/8KDyyrYWFX2SQV3fKDV0BZKz5dP.jpg,FALSE,"Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically-skilled, teenage nobleman's daughter, who is at a crossroads in her life.",2000-10-01,2000,17000000,tt0190332,213525736,120,Released,"A timeless story of strength, secrets and two warriors who would never surrender.",TRUE,290973,"Crouching Tiger, Hidden Dragon Collection","Adventure|Drama|Action|Romance","58|2269|2798|10565|12205|20289|20290|20291",8,"Sony Pictures Classics|China Film Co-Production Corporation|Columbia Pictures Film Production Asia|Good Machine|EDKO Film|Asia Union Film & Entertainment Ltd.|United China Vision|Zoom Hunt International Productions Company Ltd.","CN|HK|TW|US",zh,
153,2365,FALSE,7.3,Lost in Translation,20.553482,/5T8VvuFTdaawKLJk34i69Utaw7o.jpg,en,Lost in Translation,18,/gkbtPw5gyp8exaKw4zXEyH33J1m.jpg,FALSE,"Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America.",2003-08-31,2003,4000000,tt0335266,119723856,102,Released,Everyone wants to be found.,FALSE,,,Drama,70,1,American Zoetrope,"JP|US","ja|en",
155,14205,FALSE,8.3,The Dark Knight,35.865883,/1hRoyzDtpgMU7Dz4JF22RANzQO7.jpg,en,The Dark Knight,18|28|80|53,/hqkIcbrOHL86UncnHIsHVcVmzue.jpg,FALSE,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",2008-07-16,2008,185000000,tt0468569,1004558444,152,Released,Why So Serious?,TRUE,263,The Dark Knight Collection,"Drama|Action|Crime|Thriller","9993|429|923|6194|9996",5,"DC Entertainment|DC Comics|Legendary Pictures|Warner Bros.|Syncopy","GB|US","en|zh",http://thedarkknight.warnerbros.com/dvdsite/
161,4583,FALSE,7.2,Ocean's Eleven,30.938121,/o0h76DVXvk5OKjmNez5YY0GODC2.jpg,en,Ocean's Eleven,53|80,/z2fiN0tgkgOcAFl5gxvQlYXCn3l.jpg,FALSE,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.",2001-12-07,2001,85000000,tt0240772,450717150,116,Released,Are you in or out?,TRUE,304,Ocean's Collection,"Thriller|Crime","24939|6194|79|172|2596|129",6,"WV Films II|Warner Bros.|Village Roadshow Pictures|NPV Entertainment|Jerry Weintraub Productions|Section Eight",US,"it|en",http://www.warnerbros.co.uk/movies/oceans-eleven
167,885,FALSE,7.2,K-PAX,20.665566,/pCZxl9Si7i46nduSqUSzFdHYiEO.jpg,en,K-PAX,18|878,/yrPhUxZcTo68CFjsVCdHXYm8emP.jpg,FALSE,"Prot is a patient at a mental hospital who claims to be from a far away Planet. His psychiatrist tries to help him, only to begin to doubt his own explanations.",2001-10-22,2001,48000000,tt0272152,50315140,120,Released,Change the way you look at the world.,FALSE,,,"Drama|Science Fiction","763|840|1178|19116",4,"Intermedia Films|Lawrence Gordon Productions|Pathé Pictures International|IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG","DE|GB|US",en,http://www.k-pax.com/
170,2243,FALSE,7.1,28 Days Later,16.043944,/xaYdxi1PBEAYvqknvAmMPK5Eff3.jpg,en,28 Days Later,27|53|878,/yUztTrOARxj1lgcPyrSCeGWigZO.jpg,FALSE,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",2002-10-31,2002,5000000,tt0289043,82719885,113,Released,His fear began when he woke up alone. His terror began when he realised he wasn't.,TRUE,1565,28 Days/Weeks Later Collection,"Horror|Thriller|Science Fiction","284|10889",2,"DNA Films|British Film Council",GB,"es|en",
180,3275,FALSE,7.1,Minority Report,26.099134,/h3lpltSn7Rj1eYTPQO1lYGdw4Bz.jpg,en,Minority Report,28|53|878|9648,/u8BvwuiiQ0uLFuXviKJU0cCHXIW.jpg,FALSE,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.",2002-06-20,2002,102000000,tt0181689,358372926,145,Released,The system is perfect until it comes after you.,FALSE,,,"Action|Thriller|Science Fiction|Mystery","76068|44|766|27|26265|56|25",7,"Digital Image Associates|Cruise/Wagner Productions|Blue Tulip Productions|DreamWorks SKG|Ronald Shusett/Gary Goldman|Amblin Entertainment|20th Century Fox",US,"en|sv",
186,1639,FALSE,7.5,Lucky Number Slevin,10.904051,/jtKq0EtothAzWlnRBBWGCA8uFuu.jpg,en,Lucky Number Slevin,18|53|80|9648,/8nvayG5l0urcjvvpszoECDqLWzD.jpg,FALSE,"Slevin is mistakenly put in the middle of a personal war between the city’s biggest criminal bosses. Under constant watch, Slevin must try not to get killed by an infamous assassin and come up with an idea of how to get out of his current dilemma. A film with many twists and turns.",2006-02-24,2006,27000000,tt0425210,56308881,110,Released,Wrong Time. Wrong Place. Wrong Number.,FALSE,,,"Drama|Thriller|Crime|Mystery","308|816|826|1204|2116|21962",6,"The Weinstein Company|FilmEngine|Capitol Films|Ascendant Pictures|VIP Medienfonds 4|The Complex Studio","DE|US",en,
