adult,backdrop_path,budget,id,imdb_id,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,belongs_to_collection,collection_id,collection_name,genre_names,production_companies_ids,production_companies_number,production_companies_name,production_countries,spoken_languages,homepage
FALSE,/5vZw7ltCKI0JiOYTtRxaIC3DX0e.jpg,103000000,98,tt0172495,en,Gladiator,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences.",39.389795,/6WBIzCgmDCYrqh64yDREGeDk9d3.jpg,2000-05-01,457640427,155,Released,A Hero Will Rise.,Gladiator,FALSE,8,6757,FALSE,,,Action|Drama|Adventure,33|27|1645|14440|21904|21905|21906,7,Universal Pictures|DreamWorks SKG|Scott Free Productions|Red Wagon Entertainment|Mill Film|C & L|Dawliz,GB|US,en,
FALSE,/bDdVZNvxb670EMlZqeIy6RdyJ4V.jpg,125000000,955,tt0120755,en,Mission: Impossible II,"With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude.",33.321805,/eRaEC0vf5q5TSvaoJPwGTt2wa9T.jpg,2000-05-24,546388105,123,Released,Expect the impossible again.,Mission: Impossible II,FALSE,5.9,2358,TRUE,87359,Mission: Impossible Collection,Adventure|Action|Thriller,4|44|51199,3,Paramount|Cruise/Wagner Productions|Munich Film Partners & Company (MFP) MI2 Productions,DE|US,en,http://www.missionimpossible.com/
FALSE,/s7dcAllZEVSrVIVMUVAUmwAxFmn.jpg,19000000,4247,tt0175142,en,Scary Movie,"Following on the heels of popular teen-scream horror movies, with uproarious comedy and biting satire. Marlon and Shawn Wayans, Shannon Elizabeth and Carmen Electra pitch in to skewer some of Hollywood's biggest blockbusters, including Scream, I Know What You Did Last Summer, The Matrix, American Pie and The Blair Witch Project.",32.448758,/bvVmVFBVQLytK1H4TJTFdnhvf4T.jpg,2000-07-07,278019771,88,Released,No mercy. No shame. No sequel.,Scary Movie,FALSE,6,1990,TRUE,4246,Scary Movie Collection,Comedy,10958|1607|1608|7405,4,Brad Grey Pictures|Gold/Miller Productions|Wayans Bros. Entertainment|Dimension Films,US,en,
FALSE,/oBUznaSdjkY3HtQUzAxgdIZqh4w.jpg,9000000,77,tt0209144,en,Memento,"Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember.",29.757196,/fQMSaP88cf1nz4qwuNEEFtazuDM.jpg,2000-10-11,39723096,113,Released,Some memories are best forgotten.,Memento,FALSE,8.1,5317,FALSE,,,Mystery|Thriller,491|506|598|34446,4,Summit Entertainment|Newmarket Capital Group|Team Todd|I Remember Productions,US,en,http://www.otnemem.com/
FALSE,/cNLZ7YGRikb4IsLblrzu86ndZPw.jpg,10000000,107,tt0208092,en,Snatch,"The second film from British director Guy Ritchie. Snatch tells an obscure story similar to his first fast-paced crazy character-colliding filled film “Lock, Stock and Two Smoking Barrels.” There are two overlapping stories here – one is the search for a stolen diamond, and the other about a boxing promoter who’s having trouble with a psychotic gangster.",27.030853,/on9JlbGEccLsYkjeEph2Whm1DIp.jpg,2000-09-01,83557872,103,Released,Stealin' Stones and Breakin' Bones.,Snatch,FALSE,7.7,3484,FALSE,,,Thriller|Crime,3287|13419|5,3,Screen Gems|SKA Films|Columbia Pictures,GB|US,en|ru,
FALSE,/wWzZUuvl17RU7rlPwTsG5y1wgxi.jpg,100000000,11688,tt0120917,en,The Emperor's New Groove,"Kuzco is a self-centered emperor who summons Pacha from a village and to tell him that his home will be destroyed to make room for Kuzco's new summer home. Kuzco's advisor, Yzma, tries to poison Kuzco and accidentally turns him into a llama, who accidentally ends up in Pacha's village. Pacha offers to help Kuzco if he doesn't destroy his house, and so they form an unlikely partnership.",25.206734,/klhsrqyhvFaoM6Rwjo9dFPYJQSK.jpg,2000-12-09,169327687,78,Released,It's All About.....ME!,The Emperor's New Groove,FALSE,7.3,2013,TRUE,178117,The Emperor's New Groove Collection,Adventure|Animation|Comedy|Family|Fantasy,2|6125,2,Walt Disney Pictures|Walt Disney Animation Studios,US,en,
FALSE,/zf7L87ZS2cXjaRT5d3ibIUaJvoo.jpg,7000000,1359,tt0144084,en,American Psycho,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.",24.991199,/qXsylPM4Lr5397R3eHrfqHhTUNc.jpg,2000-04-13,34266564,102,Released,I think my mask of sanity is about to slip.,American Psycho,FALSE,7.3,2717,TRUE,86105,American Psycho Collection,Thriller|Drama|Crime,15231|35|6455,3,Muse Productions|Lions Gate Films|Edward R. Pressman Film,CA|US,en|es|cn,
FALSE,/yQWiRYbsO0ceVm6EJ7TUaFXbYx1.jpg,110000000,2024,tt0187393,en,The Patriot,"After proving himself on the field of battle in the French and Indian War, Benjamin Martin wants nothing more to do with such things, preferring the simple life of a farmer. But when his son Gabriel enlists in the army to defend their new nation, America, against the British, Benjamin reluctantly returns to his old life to protect his son.",24.494575,/tgXOraQmKatqrVs2KMgnNn6QpO.jpg,2000-06-28,215294342,165,Released,Some things are worth fighting for.,The Patriot,FALSE,6.9,1384,FALSE,,,Drama|History|War|Action,347|762|9269|5,4,Centropolis Entertainment|Mutual Film Company|Global Entertainment Productions GmbH & Company Medien KG|Columbia Pictures,DE|US,en,
FALSE,/AfXk5IqMZuznjjvEkrQuzQ9A5U6.jpg,92000000,4327,tt0160127,en,Charlie's Angels,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.",22.40577,/eBzf9d09Vgq2HSVC4fIZm1QNQd.jpg,2000-11-02,264105545,98,Released,Get Some Action,Charlie's Angels,FALSE,5.5,1565,TRUE,86029,Charlie's Angels Collection,Action|Adventure|Comedy|Crime|Thriller,5,1,Columbia Pictures,US,en|de|fi|ja|cn,
FALSE,/hUCf8nuuSjUwWlOmTVVPXJHl97v.jpg,70000000,3981,tt0207201,en,What Women Want,"Advertising executive Nick Marshall is as cocky as they come, but what happens to a chauvinistic guy when he can suddenly hear what women are thinking? Nick gets passed over for a promotion, but after an accident enables him to hear women's thoughts, he puts his newfound talent to work against Darcy, his new boss, who seems to be infatuated with him.",22.251346,/xiL4PMdL2b5RRdsfEkGmaol2ScW.jpg,2000-12-15,374111707,127,Released,He has the power to hear everything women are thinking. Finally... a man is listening.,What Women Want,FALSE,6.2,1320,FALSE,,,Comedy|Romance,347|4|4564|8116,4,Centropolis Entertainment|Paramount|Icon Entertainment International|Wind Dancer Productions,US,en|fr,
