vote_count,id,video,vote_average,title,popularity,poster_path,original_language,original_title,genre_ids,backdrop_path,adult,overview,release_date,release_year
6737,98,FALSE,8,Gladiator,40.389795,/6WBIzCgmDCYrqh64yDREGeDk9d3.jpg,en,Gladiator,28|18|12,/5vZw7ltCKI0JiOYTtRxaIC3DX0e.jpg,FALSE,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences.",2000-05-01,2000
2354,955,FALSE,5.9,Mission: Impossible II,34.321805,/eRaEC0vf5q5TSvaoJPwGTt2wa9T.jpg,en,Mission: Impossible II,12|28|53,/bDdVZNvxb670EMlZqeIy6RdyJ4V.jpg,FALSE,"With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude.",2000-05-24,2000
1980,4247,FALSE,6,Scary Movie,33.448758,/bvVmVFBVQLytK1H4TJTFdnhvf4T.jpg,en,Scary Movie,35,/s7dcAllZEVSrVIVMUVAUmwAxFmn.jpg,FALSE,"Following on the heels of popular teen-scream horror movies, with uproarious comedy and biting satire. Marlon and Shawn Wayans, Shannon Elizabeth and Carmen Electra pitch in to skewer some of Hollywood's biggest blockbusters, including Scream, I Know What You Did Last Summer, The Matrix, American Pie and The Blair Witch Project.",2000-07-07,2000
5317,77,FALSE,8.1,Memento,30.757196,/fQMSaP88cf1nz4qwuNEEFtazuDM.jpg,en,Memento,9648|53,/oBUznaSdjkY3HtQUzAxgdIZqh4w.jpg,FALSE,"Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember.",2000-10-11,2000
3480,107,FALSE,7.7,Snatch,28.030853,/on9JlbGEccLsYkjeEph2Whm1DIp.jpg,en,Snatch,53|80,/cNLZ7YGRikb4IsLblrzu86ndZPw.jpg,FALSE,"The second film from British director Guy Ritchie. Snatch tells an obscure story similar to his first fast-paced crazy character-colliding filled film “Lock, Stock and Two Smoking Barrels.” There are two overlapping stories here – one is the search for a stolen diamond, and the other about a boxing promoter who’s having trouble with a psychotic gangster.",2000-09-01,2000
2005,11688,FALSE,7.3,The Emperor's New Groove,26.206734,/klhsrqyhvFaoM6Rwjo9dFPYJQSK.jpg,en,The Emperor's New Groove,12|16|35|10751|14,/wWzZUuvl17RU7rlPwTsG5y1wgxi.jpg,FALSE,"Kuzco is a self-centered emperor who summons Pacha from a village and to tell him that his home will be destroyed to make room for Kuzco's new summer home. Kuzco's advisor, Yzma, tries to poison Kuzco and accidentally turns him into a llama, who accidentally ends up in Pacha's village. Pacha offers to help Kuzco if he doesn't destroy his house, and so they form an unlikely partnership.",2000-12-09,2000
2706,1359,FALSE,7.3,American Psycho,25.991199,/qXsylPM4Lr5397R3eHrfqHhTUNc.jpg,en,American Psycho,53|18|80,/zf7L87ZS2cXjaRT5d3ibIUaJvoo.jpg,FALSE,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.",2000-04-13,2000
1381,2024,FALSE,6.9,The Patriot,25.494575,/tgXOraQmKatqrVs2KMgnNn6QpO.jpg,en,The Patriot,18|36|10752|28,/yQWiRYbsO0ceVm6EJ7TUaFXbYx1.jpg,FALSE,"After proving himself on the field of battle in the French and Indian War, Benjamin Martin wants nothing more to do with such things, preferring the simple life of a farmer. But when his son Gabriel enlists in the army to defend their new nation, America, against the British, Benjamin reluctantly returns to his old life to protect his son.",2000-06-28,2000
1562,4327,FALSE,5.5,Charlie's Angels,23.40577,/eBzf9d09Vgq2HSVC4fIZm1QNQd.jpg,en,Charlie's Angels,28|12|35|80|53,/AfXk5IqMZuznjjvEkrQuzQ9A5U6.jpg,FALSE,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.",2000-11-02,2000
1312,3981,FALSE,6.2,What Women Want,23.251346,/xiL4PMdL2b5RRdsfEkGmaol2ScW.jpg,en,What Women Want,35|10749,/hUCf8nuuSjUwWlOmTVVPXJHl97v.jpg,FALSE,"Advertising executive Nick Marshall is as cocky as they come, but what happens to a chauvinistic guy when he can suddenly hear what women are thinking? Nick gets passed over for a promotion, but after an accident enables him to hear women's thoughts, he puts his newfound talent to work against Darcy, his new boss, who seems to be infatuated with him.",2000-12-15,2000
1249,1493,FALSE,6.2,Miss Congeniality,22.967158,/mILq93mndRkMRz1MgaKqD3WpR1d.jpg,en,Miss Congeniality,35|80|28,/bf70xnDBMgKZs3YrSE1zm25NsBm.jpg,FALSE,"When the local FBI office receives a letter from a terrorist known only as 'The Citizen', it's quickly determined that he's planning his next act at the Miss America beauty pageant. Because tough-as-nails Gracie Hart is the only female Agent at the office, she's chosen to go undercover as the contestant from New Jersey.",2000-12-14,2000
